id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37283413,Picasso Suite by Madflats Collection,112373304,Daniel,,Churriana,36.63089,-4.49764,Entire home/apt,173,1,39,2022-09-11,1.03,6,288,17,VFT/MA/35570
53494076,Cozy central 2 bedroom apartment in Torremolinos,11704979,Millstower,,Churriana,36.62196,-4.4983,Entire home/apt,84,3,4,2022-09-20,0.44,1,148,4,VFT/MA/42452
52196433,Estupendo apartamento junto a magníficas playas,33998931,Vivendos Homes,,Churriana,36.63326,-4.49169,Entire home/apt,79,1,22,2022-08-18,1.87,5,313,22,VFT/MA/46931
652642729348652825,Prachtig gastenappartement met gedeeld zwembad,14555308,Brenda,,Este,36.720547,-4.292675,Entire home/apt,125,2,1,2022-07-17,0.40,1,360,1,VFT/MA/52949
18082260,Villa/BBQ/private pool/wifi/aircon/walk to bar!,106476095,Comares Holiday Properties S.L.,,Este,36.84225,-4.27146,Entire home/apt,177,7,27,2022-04-16,0.51,3,252,3,CR/MA/01338
32425826,"ÁTICOMAR,  CON  BONITAS VISTAS",243537770,Jose Antonio,,Este,36.71845,-4.30761,Entire home/apt,143,2,2,2019-08-11,0.05,1,96,0,""
24028443,Apartamento junto a la playa.,40256424,Javier,,Este,36.71412,-4.31312,Entire home/apt,99,3,31,2022-08-30,0.58,1,325,6,VFT/MA/01877
33231953,Cómodo y practico apartamiento a la Playa,925118,Alain,,Churriana,36.63038,-4.49099,Entire home/apt,61,5,60,2022-09-18,1.42,6,179,23,CTC-2019047457
3820215,Estudio en la playa,15799170,Jose Carlos,,Churriana,36.63227,-4.49061,Entire home/apt,29,5,39,2022-09-09,0.45,2,90,12,VFT/MA/43075
4046362,House with sea view 4 bedrooms pool terrace garage,20980146,Irina,,Este,36.71615,-4.29646,Entire home/apt,113,6,34,2022-07-07,0.40,1,225,13,VFT/MA/24174
590255677166653993,Apartamento Jema El Bajondillo,451060586,Eva Maria,,Churriana,36.622551,-4.49543,Entire home/apt,81,2,18,2022-09-25,3.35,1,165,18,VFT/MA/50773
50787287,Playamar Torremolinos. Pool and free parking.,37869060,Juan,,Churriana,36.630409,-4.496239,Entire home/apt,53,1,37,2022-09-03,2.51,3,53,31,VFT/MA/22679
719645684336614548,Íntimo estudio a pie de playa,143981603,Enrique,,Churriana,36.63212,-4.48928,Entire home/apt,50,4,0,,,1,365,0,CTC-2018215278
